Study ID,,,,,Site information,,,,,,,,,,,,,,,,,,,,,,Site history and vegetation information,,,,,,,,General experiment information,,,,
Study ID,Citation name,DOI,Source file name,Person extracting data,Location name,Location country,Experiment name,Elevation (m),Latitude,Longitude,lat_lon_method,lat_lon_notes,MAT (oC),MAP (mm),Soil texture,Soil taxonomy or description,Depth to bedrock,Depth to bedrock units,Depth to groundwater,Depth to groundwater units,Soil C:N,Soil C content,Soil organic matter content,Soil pH,Plant biomass/cover/LAI,Plant bio/cov/LAI units,Dominant species,Species diversity,Species diversity type,%C4,Vegetation type,Whittaker biome,Site history,Managed type,Planting/removal date,Experiment type,Facility type,Original goal of experiment,Notes
539_2,Cable et al. (2008),https://doi.org/10.1007/s10021-008-9172-x,Cable_2008_Ecosystems_1b_539,KSC,Santa Rita Experimental Range,USA,NA,,31.78,-110.88,estimated,From English et al. 2005,17.9,,clay loam,,,,,,,,,,18.6,plants/m^2,"H. Contortus, E. lehmanniana",,,,desert grassland,desert grassland,,experimental,spring / fall 2001,planted,rainout,compare responses of vegetated and bare plots to different size precipitation pulses,
542,Casals et al. (2009),https://doi.org/10.1016/j.soilbio.2009.06.015,Casals_2009_SoilBiologyBiochem_1b_542,KSC,"Las Majadas del Tietar, Caceres",Spain,NA,260,39.933333,-5.766667,reported,,16.7,528,,Dystric Cambisol,,,,,,,,5.6,24.8,trees/ha,Quercus ilex ssp ballota Lam.,,,,Mediterranean dehesa,woodland / shrubland,,continuous grazing (cattle and sheep),,established ,no exclusion -- very little precip in summer when irrigated for this study,"compare CO2 efflux and soil C response to precip pulse in grazed and ""abandoned"" dehesa site",
546,Chou et al. (2008),https://doi.org/10.1111/j.1365-2486.2008.01572.x,Chou_2008_GlobalChangeBiology_1b_546,KSC,Sierra Foothill Research and Extension Center,USA,NA,90-600,39.25,-121.283333,reported,,16,750,,xeric shallow clay loams,,,,,,,,,,,"Avena spp, Bromus spp, Lolium spp, Hordeum spp., Erodium spp., Trifolium spp.",,,,Mediterranean annual grassland,,,experimental,,,no exclusion ; 15 x 30 m plots,above vs below ground responses of ecosystem C cycling with variation in timing and magnitude of rainfall,
479_1,Zhang et al. (2010),https://doi.org/10.1016/j.jaridenv.2010.05.031,Zhang_2010_JournalAridEnvironments_1a_479,KSC,Kelamayi,China,NA,258-280,45.3975,84.857222,reported,,8,105.3,,"relic bog soils, relic solonchaks and desert aeolian soils and the main texture is loamy",,,,,,,,,20,%,A. aphylla,,,,,,,,,established,30 x 30 m plots,compare soil respiration between desert shrub communities,Site 2 of study
479_2,Zhang et al. (2010),https://doi.org/10.1016/j.jaridenv.2010.05.031,Zhang_2010_JournalAridEnvironments_1a_479,KSC,Kelamayi,China,NA,258-280,45.384444,84.856944,reported,,8,105.3,,"relic bog soils, relic solonchaks and desert aeolian soils and the main texture is loamy",,,,,,,,,25,%,H. caspica,,,,,,,,,established,30 x 30 m plots,compare soil respiration between desert shrub communities,Site 3 of study
694,Loik et al. (2007),https://doi.org/10.1007/s11258-006-9217-1,Loik_2007_PlantEcology_1b_694,KSC,Valentine Eastern Sierra UC Natural Reserve,USA,,2400,36.166667,-118.75,reported,,6.2,386,,"Cozetica, Vitrandic Xerorthent, Cryopsammet, Haypress, and Torriothentic Haploxeroll families",150,cm,,,,,,,,,A. tridentata & P. tridentata,,,,,woodland / shrubland,,grazed,,,,,
759_1,Potts et al. (2006),https://doi.org/10.1111/j.1469-8137.2006.01732.x,Potts_2006_NewPhytologist_1b_759,VS,Santa Rita Experimental Range (SRER),USA,,1100,31.83342,-110.85286,reported,,,,loamy sand,"coarse-textured, loamy-sand soil developed on a Holocene-aged alluvium",,,,,,,,,,,,,,,,,planted,,June and July of 2001,field - planted,outdor,,
759_2,Potts et al. (2006),https://doi.org/10.1111/j.1469-8137.2006.01732.x,Potts_2006_NewPhytologist_1b_759,VS,Santa Rita Experimental Range (SRER),USA,,1100,31.83342,-110.85286,reported,,,,clay,clay soil developed on a Pleistocene-aged surface,,,,,,,,,,,,,,,,,planted,,June and July of 2001,field - planted,outdor,,
184,Jin et al. (2009),https://doi.org/10.1016/S1002-0160(09)60175-2,Jin_2009_Pedosphere_1a_184,EP,"Mu Us Sand Land of the Ordos Plateau in Inner Mongolia, Ordos Sandy Grassland Research Station",China,Chinese Ecosystem Research Network,1335,39.48333,110.1833333,reported,,6.7,345,,,,,,,,,,,,,"Artemisia ordosica Krasch. Hedysarum fruticosum Pall., Pennisetum centrasiaticum Tzvelev, Agropyron desertorum (Fisch. Ex link) Schult., Agropyron fragile (Roth) P. Candargy, Oxytropis psammocharis Hance, and Astragalus melilotoides Pall.",,,,shrubland,,,Research Station,,field-intact,outdoor,,
199_1,Kim et al. (2010),https://doi.org/10.1016/j.soilbio.2009.12.005,Kim_2010_SoilBiologyBiochem_1a_199,EP,"Gwangneung Experimental Forest, Kyung-Gi Province",South Korea,Gwangneung Experimental Forest,330,37.73333333,127.15,reported,,,,sandy loam,,,,,,,,,,,,"Quercus acutissima, Acer palmatum, Fraxinus rhynchophylla",,,,forest,,preserved natural deciduous forest,Experimental Forest,,field-intact,outdoor,,
199_2,Kim et al. (2010),https://doi.org/10.1016/j.soilbio.2009.12.005,Kim_2010_SoilBiologyBiochem_1a_199,EP,"Gwangneung Experimental Forest, Kyung-Gi Province",South Korea,Gwangneung Experimental Forest,340,37.75,127.15,reported,,,,sandy loam,,,,,,,,,,,,Pinus koraiensis,,,,forest,,Planted and managed,Experimental Forest,,field-intact,outdoor,,
199_3,Kim et al. (2010),https://doi.org/10.1016/j.soilbio.2009.12.005,Kim_2010_SoilBiologyBiochem_1a_199,EP,"Gwangneung Experimental Forest, Kyung-Gi Province",South Korea,Gwangneung Experimental Forest,320,37.75,127.15,reported,,,,sandy loam,,,,,,,,,,,,"Acer palmatum, Quercus acutissima, Pinus koraiensis",,,,forest,,Planted and managed,Experimental Forest,,field-intact,outdoor,,
216,Li et al. (2018),https://doi.org/10.1016/S1002-0160(17)60307-2,Li_2018_Pedosphere_1a_216,EP,"Hongwei, Tengger Desert",China,,,37.43333333,104.5,reported,,10,180.2,,,,,,,,,,,30,%,"Caragana korshinskii Kom, Artemisia ordosica Krasch., Ceratoides latens Reveal et Holmgren, Stipabreviflora Griseb., Cleistogenes songorica Ohwj, Eragrostis poaeoides Beauv., and Artemisia capillaris",,,,shrubland,,grazing excluded for >30 years,,,field-intact,outdoor,,"common BSCs in this region are mainly predominated by mosses (Bryum argenteum Hedw., Didymodon constrictus (Mitt.) Saito., Tortula bidentata Bai Xue Liang, and Tortula desertorum Broth.), algae (Anabaena azotica Ley, Euglena sp., Hantzschia amphioxys var. capitata Grum, Oscillatoria obscura Gom., Oscillatoria pseudogeminate G. Schm., and Scytonema javanicum (Kutz) Bornet Flash), cyanobacteria (Microcolous vaginatus Gom., Hydrocoleus violacens Gom., Lyngbya crytoraginatus Schk., Phormidium amblgum Gom., Phormidium autumnale (Ag.) Gom., Phormidium foveolarum (Mont.) Gom., and Phormidium luridum (Kutz) Gom.), and lichens (Collema tenax (Sw.) Ach., Endocarpon pusillum Hedw.), or any combination of these organisms, with an average cover of 68%"
